Employee,Monthly Income (£),Electricity Bill (£),Gas Bill (£),Netflix (£),Amazon Prime (£),Groceries (£),Transportation (£),Water Bill (£),Sky Sports (£),Other Expenses (£),Savings for Property (£),Monthly Outing (£),Date
Employee_34,4238.02,120.0,80.0,12,4.99,236.81,105.72,40.0,70.0,100.0,0.0,120.0,2024-12-1
Employee_35,3244.11,120.0,80.0,12,4.99,277.29,168.82,40.0,0.0,0.0,0.0,0.0,2024-12-1
Employee_36,2236.12,120.0,80.0,12,4.99,208.82,75.5,40.0,70.0,100.0,300.0,0.0,2024-12-1
Employee_37,4556.1,120.0,80.0,12,4.99,240.93,62.9,0.0,70.0,100.0,300.0,0.0,2024-12-1
Employee_38,2076.84,120.0,80.0,12,4.99,298.2,159.25,40.0,70.0,100.0,0.0,0.0,2024-12-1
Employee_39,2575.02,120.0,80.0,12,4.99,227.01,133.96,40.0,0.0,0.0,300.0,0.0,2024-12-1
Employee_40,3943.54,120.0,80.0,12,4.99,191.16,133.26,40.0,70.0,0.0,0.0,120.0,2024-12-1
Employee_41,4215.63,120.0,80.0,12,4.99,179.42,75.98,0.0,0.0,100.0,300.0,120.0,2024-12-1
Employee_42,5704.66,120.0,80.0,12,4.99,198.9,142.93,40.0,70.0,100.0,0.0,120.0,2024-12-1
Employee_43,4722.35,120.0,80.0,12,4.99,289.38,81.89,0.0,70.0,0.0,0.0,0.0,2024-12-1
Employee_44,3969.85,120.0,80.0,12,4.99,207.46,113.35,0.0,70.0,0.0,300.0,0.0,2024-12-1
Employee_45,1482.92,120.28,72.02,12,4.99,220.52,152.38,0.0,70.0,184.36,300.0,120.0,2024-12-1
Employee_46,2590.3,120.0,80.0,12,4.99,228.87,101.75,40.0,70.0,0.0,300.0,0.0,2024-12-1
Employee_47,1729.66,130.52,71.97,12,4.99,240.91,236.64,0.0,70.0,144.45,300.0,120.0,2024-12-1
Employee_48,5635.29,120.0,80.0,12,4.99,289.49,199.34,40.0,70.0,0.0,0.0,0.0,2024-12-1
Employee_49,1087.63,134.29,77.62,12,4.99,225.36,202.88,0.0,70.0,168.05,0.0,120.0,2024-12-1
Employee_50,5374.41,120.0,80.0,12,4.99,151.19,110.66,0.0,0.0,100.0,300.0,120.0,2024-12-1
